"Date","Germany, WHOLESALE, National Average, Eggs, EUR/100 kg"
"02/01/2025","266.61"
"01/01/2025","233.3"
"12/01/2024","246.58"
"11/01/2024","247.56"
"10/01/2024","226.46"
"09/01/2024","199.13"
"08/01/2024","191.7"
"07/01/2024","194.31"
"06/01/2024","205.11"
"05/01/2024","222.06"
"04/01/2024","230.27"
"03/01/2024","260.33"
"02/01/2024","249.93"
"01/01/2024","245.16"
"12/01/2023","246.43"
"11/01/2023","238.75"
"10/01/2023","231.4"
"09/01/2023","222.79"
"08/01/2023","203.08"
"07/01/2023","193.82"
"06/01/2023","229.32"
"05/01/2023","256.86"
"04/01/2023","266.63"
"03/01/2023","269.26"
"02/01/2023","256.26"
"01/01/2023","246.83"
"12/01/2022","248.81"
"11/01/2022","245.34"
"10/01/2022","230.1"
"09/01/2022","192.17"
"08/01/2022","170.21"
"07/01/2022","167.21"
"06/01/2022","167.72"
"05/01/2022","170"
"04/01/2022","191.6"
"03/01/2022","166.34"
"02/01/2022","129.39"
"01/01/2022","119.64"
"12/01/2021","126.47"
"11/01/2021","119.05"
"10/01/2021","117.94"
"09/01/2021","115.45"
"08/01/2021",""
"07/01/2021","99.48"
"06/01/2021","105.83"
"05/01/2021","104.99"
"04/01/2021","115.71"
"03/01/2021","132.09"
"02/01/2021","120.75"
"01/01/2021","106.57"
"12/01/2020","101.72"
"11/01/2020","101.51"
"10/01/2020","104.3"
"09/01/2020","102.29"
"08/01/2020","104.23"
"07/01/2020","118.09"
"06/01/2020","126.38"
"05/01/2020","118.51"
"04/01/2020","133.13"
"03/01/2020","143.31"
"02/01/2020","128.33"
"01/01/2020","125.65"
"12/01/2019","137.37"
"11/01/2019","135.82"
"10/01/2019","123.64"
"09/01/2019","115.41"
"08/01/2019","110.38"
"07/01/2019","107.74"
"06/01/2019","114.8"
"05/01/2019","115.95"
"04/01/2019","128.17"
"03/01/2019","132.27"
"02/01/2019","128.93"
"01/01/2019","129.84"
"12/01/2018","140.23"
"11/01/2018","130.84"
"10/01/2018","120.44"
"09/01/2018","110.8"
"08/01/2018","100.19"
"07/01/2018","103.36"
"06/01/2018","107.46"
"05/01/2018","113.28"
"04/01/2018","133.53"
"03/01/2018","191.88"
"02/01/2018","206.24"
"01/01/2018","205.57"
"12/01/2017","218"
"11/01/2017","218.49"
"10/01/2017","203.6"
"09/01/2017","160.34"
"08/01/2017","143.97"
"07/01/2017","115.63"
"06/01/2017","129.42"
"05/01/2017","133.95"
"04/01/2017","143.24"
"03/01/2017","133.26"
"02/01/2017","113.1"
"01/01/2017","115.8"
"12/01/2016","126.08"
"11/01/2016","118.08"
"10/01/2016","102.8"
"09/01/2016","96.8"
"08/01/2016","86.67"
"07/01/2016","86.91"
"06/01/2016","94.15"
"05/01/2016","96.79"
"04/01/2016","103.79"
"03/01/2016","129.03"
"02/01/2016","132.76"
"01/01/2016","117.1"
"12/01/2015","118.84"
"11/01/2015","113.41"
"10/01/2015","112.24"
"09/01/2015","118.91"
"08/01/2015","118.93"
"07/01/2015","122.89"
"06/01/2015","127.57"
"05/01/2015","100.83"
"04/01/2015","112.89"
"03/01/2015","135.98"
"02/01/2015","123.86"
"01/01/2015","119.06"
"12/01/2014","125.23"
"11/01/2014","112.4"
"10/01/2014","107.8"
"09/01/2014","106.98"
"08/01/2014","96.62"
"07/01/2014","104.57"
"06/01/2014","107.55"
"05/01/2014","104.84"
"04/01/2014","119.22"
"03/01/2014","123.76"
"02/01/2014","121.69"
"01/01/2014","112.75"
"12/01/2013","116.82"
"11/01/2013","112.26"
"10/01/2013","107.53"
"09/01/2013","103.42"
"08/01/2013","91.71"
"07/01/2013","90.81"
"06/01/2013","96.25"
"05/01/2013","93.69"
"04/01/2013","113.92"
"03/01/2013","149.87"
"02/01/2013","159.16"
"01/01/2013","152.21"
"12/01/2012","168.22"
"11/01/2012","157.71"
"10/01/2012","153.65"
"09/01/2012","139.31"
"08/01/2012","130.99"
"07/01/2012","131.07"
"06/01/2012","138.2"
"05/01/2012","150.67"
"04/01/2012","168.66"
"03/01/2012","227.54"
"02/01/2012","163.63"
