"Date","Germany, WHOLESALE, National Average, Milk (raw), EUR/100 kg"
"02/01/2025","54.6"
"01/01/2025","54.6"
"12/01/2024","55.59"
"11/01/2024","54.65"
"10/01/2024","52.7"
"09/01/2024","49.54"
"08/01/2024","47.44"
"07/01/2024","46.37"
"06/01/2024","45.85"
"05/01/2024","45.7"
"04/01/2024","45.88"
"03/01/2024","45.99"
"02/01/2024","45.66"
"01/01/2024","45.89"
"12/01/2023","45.45"
"11/01/2023","42.57"
"10/01/2023","41.33"
"09/01/2023","41.04"
"08/01/2023","40.97"
"07/01/2023","42.06"
"06/01/2023","44.33"
"05/01/2023","46.54"
"04/01/2023","49.76"
"03/01/2023","54.07"
"02/01/2023","58.65"
"01/01/2023","58.65"
"12/01/2022","61.72"
"11/01/2022","61.55"
"10/01/2022","60.56"
"09/01/2022","58.59"
"08/01/2022","56.19"
"07/01/2022","54.4"
"06/01/2022","51.73"
"05/01/2022","51.73"
"04/01/2022","49.69"
"03/01/2022","47.98"
"02/01/2022","44.25"
"01/01/2022","43.03"
"12/01/2021","42.25"
"11/01/2021","41.07"
"10/01/2021","39.28"
"09/01/2021","37.51"
"08/01/2021","36.55"
"07/01/2021","36.55"
"06/01/2021","35.98"
"05/01/2021","35.86"
"04/01/2021","35.96"
"03/01/2021","35.58"
"02/01/2021","34.66"
"01/01/2021","34.71"
"12/01/2020","35.11"
"11/01/2020","35.05"
"10/01/2020","34.7"
"09/01/2020","33.25"
"08/01/2020","32.02"
"07/01/2020","31.83"
"06/01/2020","31.72"
"05/01/2020","32.52"
"04/01/2020","34.05"
"03/01/2020","34.88"
"02/01/2020","34.79"
"01/01/2020","34.92"
"12/01/2019","35.29"
"11/01/2019","35.19"
"10/01/2019","34.65"
"09/01/2019","33.88"
"08/01/2019","33.01"
"07/01/2019","32.93"
"06/01/2019","33.22"
"05/01/2019","33.99"
"04/01/2019","34.49"
"03/01/2019","34.82"
"02/01/2019","35.22"
"01/01/2019","35.47"
"12/01/2018","36.47"
"11/01/2018","37.16"
"10/01/2018","36.63"
"09/01/2018","35.43"
"08/01/2018","33.83"
"07/01/2018","33.19"
"06/01/2018","32.56"
"05/01/2018","32.38"
"04/01/2018","32.99"
"03/01/2018","34.21"
"02/01/2018","34.88"
"01/01/2018","36.76"
"12/01/2017","39.96"
"11/01/2017","40.52"
"10/01/2017","40.34"
"09/01/2017","39.39"
"08/01/2017","37.44"
"07/01/2017","35.89"
"06/01/2017","34.38"
"05/01/2017","33.83"
"04/01/2017","33.49"
"03/01/2017","33.56"
"02/01/2017","33.97"
"01/01/2017","34.13"
"12/01/2016","33.67"
"11/01/2016","33.14"
"10/01/2016","30.42"
"09/01/2016","26.37"
"08/01/2016","24.3"
"07/01/2016","23.42"
"06/01/2016","23.18"
"05/01/2016","23.97"
"04/01/2016","25.74"
"03/01/2016","27.31"
"02/01/2016","28.13"
"01/01/2016","28.92"
"12/01/2015","29.75"
"11/01/2015","29.81"
"10/01/2015","29.43"
"09/01/2015","28.38"
"08/01/2015","27.77"
"07/01/2015","27.94"
"06/01/2015","28.83"
"05/01/2015","29.8"
"04/01/2015","30.75"
"03/01/2015","30.73"
"02/01/2015","30.82"
"01/01/2015","30.89"
"12/01/2014","32.48"
"11/01/2014","33.99"
"10/01/2014","35.14"
"09/01/2014","36.44"
"08/01/2014","37.09"
"07/01/2014","37.18"
"06/01/2014","37.97"
"05/01/2014","38.87"
"04/01/2014","39.72"
"03/01/2014","40.55"
"02/01/2014","40.94"
"01/01/2014","41.26"
"12/01/2013","42.24"
"11/01/2013","42.46"
"10/01/2013","41.74"
"09/01/2013","40"
"08/01/2013","37.7"
"07/01/2013","37.56"
"06/01/2013","36.1"
"05/01/2013","32.99"
"04/01/2013","34.65"
"03/01/2013","34.68"
"02/01/2013","34.58"
"01/01/2013","34.77"
"12/01/2012","35.02"
"11/01/2012","34.97"
"10/01/2012","33.6"
"09/01/2012","30.84"
"08/01/2012","29.13"
"07/01/2012","29.04"
"06/01/2012","29.15"
"05/01/2012","30.85"
"04/01/2012","31.95"
"03/01/2012","32.7"
"02/01/2012","33.4"
"01/01/2012",""
"12/01/2011","35.71"
"11/01/2011","36.9"
"10/01/2011","36.43"
"09/01/2011","35.48"
"08/01/2011","34.74"
"07/01/2011","34.53"
"06/01/2011","34.39"
"05/01/2011","34.44"
"04/01/2011","34.2"
"03/01/2011","34.06"
"02/01/2011","33.2"
"01/01/2011","33.12"
"12/01/2010","34.42"
"11/01/2010","34.65"
"10/01/2010","34.41"
"09/01/2010","33.37"
"08/01/2010","31.84"
"07/01/2010","30.6"
"06/01/2010","30.08"
"05/01/2010","29.41"
"04/01/2010","28.37"
"03/01/2010","27.95"
"02/01/2010","28.14"
"01/01/2010","28.4"
"12/01/2009","26"
"11/01/2009","26.64"
"10/01/2009","23.1"
"09/01/2009","22.07"
"08/01/2009","22.18"
"07/01/2009","22"
"06/01/2009","22"
"05/01/2009","22.4"
"04/01/2009","23"
"03/01/2009","24"
"02/01/2009","25.2"
"01/01/2009","26"
"12/01/2008","27.8"
"11/01/2008","29.8"
"10/01/2008","31.8"
"09/01/2008","33.4"
"08/01/2008","34.1"
"07/01/2008","33.6"
"06/01/2008","32.8"
"05/01/2008","34"
"04/01/2008","34"
"03/01/2008","35.3"
"02/01/2008","37"
"01/01/2008","38.5"
"12/01/2007","40.8"
"11/01/2007","41"
"10/01/2007","40.5"
"09/01/2007","37"
"08/01/2007","35"
"07/01/2007","31.85"
"06/01/2007","29.1"
"05/01/2007","27.5"
"04/01/2007","27.4"
"03/01/2007","27.15"
"02/01/2007","27.15"
"01/01/2007","27.05"
"12/01/2006","27.75"
"11/01/2006","28"
"10/01/2006","28"
"09/01/2006","27.45"
"08/01/2006","26.7"
"07/01/2006","26.35"
"06/01/2006","26.32"
"05/01/2006","26.15"
"04/01/2006","26.3"
"03/01/2006","26.45"
"02/01/2006","26.75"
"01/01/2006","27.25"
"12/01/2005","29.51"
"11/01/2005","30.19"
"10/01/2005","29.69"
"09/01/2005","28.77"
"08/01/2005","28.03"
"07/01/2005","27.36"
"06/01/2005","27.26"
"05/01/2005","27.44"
"04/01/2005","27.9"
"03/01/2005","28.82"
"02/01/2005","29.15"
"01/01/2005","29.53"
